gene,log2FoldChange,pvalue,padj
AKIP1,-0.595990502,0.564089462,0.747912967
IMPDH1,-0.401303055,0.564117501,0.747912967
SRP14,-0.290753683,0.564142115,0.747912967
BCL9L,-0.251850997,0.564168801,0.747912967
BGN,0.379481392,0.564276539,0.748002027
ZNF595,-0.602802844,0.564366358,0.748067324
PLK3,-0.40275246,0.564460932,0.748138913
COL9A1,1.11728506,0.564630586,0.748309996
PELI3,-0.488165081,0.565172557,0.748974454
NOTCH1,0.398686202,0.565241003,0.749011339
RPS6KA4,-0.332797219,0.56532481,0.749049398
STARD13,0.540228426,0.565350953,0.749049398
TCF19,0.461128407,0.565473026,0.749118714
TCF19,0.461128407,0.565473026,0.749118714
TCF19,0.461128407,0.565473026,0.749118714
TCF19,0.461128407,0.565473026,0.749118714
TCF19,0.461128407,0.565473026,0.749118714
TCF19,0.461128407,0.565473026,0.749118714
TCF19,0.461128407,0.565473026,0.749118714
LAT2,-0.679653545,0.565503903,0.749118714
CTU1,0.663667463,0.565525124,0.749118714
ZNRD2-DT,0.969842095,0.565686226,0.749237125
C3orf14,-0.718840975,0.565695764,0.749237125
KLF9,-0.498798669,0.565810523,0.749335307
SNORD116-26,-0.718845798,0.566180909,0.749771989
LURAP1,-1.003858939,0.566275178,0.749819282
ALDH1B1,-0.725273078,0.566297933,0.749819282
BSDC1,0.407869004,0.566424392,0.749932883
TNRC6C,0.432887519,0.566470665,0.749940311
UNC50,-0.408946629,0.56657594,0.750025844
COX7A2,0.468308763,0.566724815,0.750169078
TDG,0.80090283,0.566859927,0.750294074
SOWAHA,-1.595577818,0.566926309,0.750328088
PSMB1,-0.374682369,0.567017789,0.750395313
PSMB1,-0.374682369,0.567017789,0.750395313
ERG,0.536038596,0.567113607,0.750414409
ATAD2B,0.612404239,0.567172139,0.750414409
MMP25,-0.528283997,0.567186767,0.750414409
POLRMT,0.352019534,0.567194971,0.750414409
LINGO2,1.224630216,0.567275224,0.75046675
ATP8B5P,-0.456169467,0.567349111,0.750509062
DHTKD1,-0.513209222,0.567403088,0.750509062
LINC00665,0.793811535,0.567482518,0.750509062
SNORD44,0.770343958,0.56751484,0.750509062
RIMKLA,1.204489668,0.567546005,0.750509062
CMBL,-0.601452864,0.567551369,0.750509062
DEK,0.409038171,0.567667649,0.750609008
SIAH1,0.531078241,0.567838887,0.750781603
MAPRE3,0.625352626,0.567881651,0.750783952
DHX36,0.462487012,0.56792208,0.750783952
DHX36,0.462487012,0.56792208,0.750783952
TRAIP,1.050567182,0.567974463,0.750799385
ASB13,-0.673724079,0.56808311,0.750889185
RASSF8-AS1,-0.789262172,0.568158448,0.750934947
PPP2R5E,0.348143527,0.568212547,0.750952634
ZNF674,0.537445145,0.56855598,0.751320477
PTPN12,-0.320423593,0.568574491,0.751320477
STAG3L4,-0.625581962,0.56861309,0.751320477
BCAR3-AS1,0.981333217,0.568667786,0.75133892
MARK3,0.57879098,0.568931491,0.751598851
RFX7,0.256909779,0.568946026,0.751598851
PCDH12,-0.376620767,0.569009256,0.751628542
GPATCH2L,0.403282823,0.569134928,0.751740706
ZCCHC2,-0.267007036,0.569241819,0.751801339
COLGALT2,0.797552506,0.569285734,0.751801339
PITPNM1,-0.342427784,0.569324756,0.751801339
ZBTB25,0.41603746,0.569343887,0.751801339
RAB40C,-0.44255256,0.569431765,0.751863548
ZNF658,-0.856587188,0.569545183,0.75194187
MPHOSPH8,-0.47530869,0.569586074,0.75194187
ZNF524,-0.607634203,0.569649248,0.75194187
ZNF175,0.348227884,0.569654167,0.75194187
CYTH4,-0.666827742,0.569767159,0.752023167
SRA1,-0.424591304,0.569810337,0.752023167
PDE7B,-0.598266535,0.569838083,0.752023167
CMC2,0.583974195,0.569985338,0.752112299
HGS,0.511912987,0.569987182,0.752112299
PAFAH1B2P2,-0.869852684,0.570078963,0.752132246
LSM12,0.671638323,0.570083862,0.752132246
PTGIS,-0.485068241,0.570129326,0.752134956
CD2,-1.271507575,0.570167479,0.752134956
OR2G3,2.003939154,0.570280944,0.752230829
PRSS37,1.359502653,0.570594964,0.752591212
RASIP1,0.397856609,0.570698502,0.752673947
NUP50-DT,1.384713069,0.570898483,0.752854739
SERF2,-0.519881899,0.570917225,0.752854739
MDK,-0.469853483,0.571016703,0.752932084
MTIF2,-0.416080336,0.571093221,0.752979145
EI24,-0.304058677,0.571171457,0.753028463
H2BC13,-0.916799837,0.571381828,0.753251969
TMEM150B,0.647390337,0.571613889,0.753437605
BMS1P20,0.518669244,0.571649199,0.753437605
FAHD2A,-0.521809711,0.571679659,0.753437605
TNFSF13,-0.791920009,0.571694803,0.753437605
TSPEAR-AS2,2.109613462,0.571726903,0.753437605
TMEM26,0.930251831,0.571785722,0.753461279
RMND5B,-0.627382916,0.571963787,0.753610001
ARFIP2,-0.439708574,0.572014926,0.753610001
ART5,1.565056035,0.572021169,0.753610001
PRDX2,-0.521567378,0.572079486,0.753632997
TDGF1P3,-1.155178708,0.572165284,0.75366151
SLC35F1,0.928435423,0.572182859,0.75366151
MVB12A,0.530524446,0.572374703,0.753794326
LOC374443,-0.512994029,0.572394499,0.753794326
MIR3945HG,0.989132895,0.572406308,0.753794326
ZNHIT3,-0.647903411,0.572481276,0.753839224
ZNHIT3,-0.647903411,0.572481276,0.753839224
ATP5IF1,0.420428793,0.572527655,0.753846472
ATP5IF1,0.420428793,0.572527655,0.753846472
GLCCI1,-0.354045467,0.572592025,0.753877407
CD248,-1.009218483,0.573017265,0.754383426
LIAS,-1.0392368,0.573123741,0.754469746
CCNL1,0.518381491,0.573318186,0.754621387
AMPD3,-0.476706621,0.573371822,0.754621387
CALY,1.377859458,0.573388165,0.754621387
RPRD1A,-0.312929235,0.573402598,0.754621387
HAUS7,0.489725412,0.573555951,0.754763548
NLN,0.52131047,0.573592468,0.754763548
NLRP1,0.483846554,0.573659803,0.754798298
PXDNL,0.770956947,0.573783494,0.754868739
STK39,0.401786092,0.573795199,0.754868739
SNORD67,-0.687383907,0.573863445,0.754904673
SUGT1P1,1.210484682,0.574101105,0.755163446
TRIM5,0.320682939,0.574166706,0.755195875
SECTM1,0.58907064,0.574326661,0.755352393
MEGF6,-0.408043238,0.574438017,0.755444976
OXLD1,-0.619549002,0.574759408,0.755766721
TXLNGY,0.713500005,0.574782916,0.755766721
ANAPC11,0.809717189,0.574805606,0.755766721
LLGL1,-0.590520926,0.57494093,0.755856105
LLGL1,-0.590520926,0.57494093,0.755856105
MADD,-0.239333971,0.574955555,0.755856105
TCOF1,0.265456095,0.575004935,0.755863371
UBXN8,0.453947297,0.575043049,0.755863371
FAM174B,-0.649470745,0.575188654,0.755940669
RNPC3,-0.650176272,0.575214347,0.755940669
TMEM150A,-0.532752231,0.575224819,0.755940669
ENTPD5,-0.573925665,0.575270209,0.755946453
PUS3,0.644019616,0.575420316,0.756070099
RAB21,-0.269376969,0.575520255,0.756070099
LTB,0.910491042,0.575525931,0.756070099
LTB,0.910491042,0.575525931,0.756070099
LTB,0.910491042,0.575525931,0.756070099
LTB,0.910491042,0.575525931,0.756070099
LTB,0.910491042,0.575525931,0.756070099
LTB,0.910491042,0.575525931,0.756070099
LTB,0.910491042,0.575525931,0.756070099
LTB,0.910491042,0.575525931,0.756070099
INA,1.376542878,0.575528283,0.756070099
KCTD6,0.637596818,0.575908931,0.756516268
SLC11A2,-0.423323655,0.576106601,0.756718958
ZNF678,-0.410313314,0.576180097,0.756718958
PSMB10,-0.343862236,0.576186321,0.756718958
RORB,1.05049657,0.576282378,0.756756713
ZNF565,-0.67130794,0.576314214,0.756756713
ANKMY1,0.551272096,0.576338166,0.756756713
USP34,0.260409415,0.576419371,0.756791707
NLGN4X,0.964239674,0.576446885,0.756791707
NAGK,-0.335640698,0.576597485,0.756882938
PTEN,-0.311863379,0.576601991,0.756882938
PTEN,-0.311863379,0.576601991,0.756882938
SNX25,0.53639687,0.576639493,0.756882938
PGM2L1,0.419166798,0.576772656,0.75700385
LPIN1,0.355979373,0.576865826,0.75707104
CRLS1,0.460340844,0.576960761,0.75707104
ZNF292,-0.241607606,0.576987238,0.75707104
LOC441666,-0.953231313,0.576988047,0.75707104
IL1RL1,1.075625608,0.57706526,0.757118488
MORC1,-0.900335559,0.577218343,0.757214325
TUSC2,-0.615067962,0.577256144,0.757214325
ZNF213,-0.412081691,0.577261476,0.757214325
RRAS2,-0.883845344,0.577407777,0.757331931
GAD1,1.32491682,0.57743326,0.757331931
PALMD,0.623367947,0.577569078,0.757448664
TXK,-1.116680462,0.577604403,0.757448664
MCRS1,0.389219653,0.577923909,0.757783666
EEF1AKMT2,0.589704104,0.57794204,0.757783666
LINC02249,0.7584607,0.578076693,0.757906337
SLC20A1,0.323660762,0.578139009,0.757934158
SREK1,0.524266777,0.578290624,0.758079038
CCDC144B,0.587805909,0.578369744,0.758128869
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
KIR2DS4,1.62709937,0.578526598,0.758222445
RNF133,-1.039394861,0.578559185,0.758222445
ILK,-0.403867015,0.578564467,0.758222445
EXOSC1,-0.588234202,0.578700954,0.758301448
ARID4A,-0.483950214,0.578706983,0.758301448
C16orf46,0.877584845,0.578753211,0.758308146
GPR89A,-0.781924007,0.578807269,0.758325103
TASOR,-0.396200837,0.579004427,0.758529525
PRPF19,-0.371947779,0.579144887,0.75861545
NDUFV1,-0.424320999,0.579152282,0.75861545
PTRHD1,-0.509085167,0.579497524,0.759013766
DTD1,-0.314062527,0.579541297,0.759017195
ZDHHC23,0.69174514,0.579620419,0.759066917
SUV39H2,-0.81061687,0.579714222,0.759135856
ZNF728,1.257979602,0.579761159,0.75914342
NTRK2,-0.61750465,0.579915415,0.759291496
FRS2,-0.578945534,0.580038001,0.759398087
LDOC1,0.780419365,0.580285489,0.759625948
ALDH7A1,0.505559635,0.580294419,0.759625948
ERVV-1,1.32761823,0.580353979,0.759649996
NT5DC1,-0.532831751,0.580565539,0.759845862
NUDT7,-1.063138349,0.580586016,0.759845862
FOCAD,0.389862459,0.58064863,0.759873886
MYL6,-0.372871346,0.580748789,0.759951038
ZBTB14,-0.493189966,0.580874635,0.760061787
TAX1BP3,1.018080581,0.580954177,0.760111939
IRS2,0.341300509,0.581108408,0.760216169
FBXW11,-0.454183779,0.58111628,0.760216169
ATP6V1F,-0.587747753,0.581211771,0.760287161
FBXL14,0.481586222,0.581360866,0.760428259
ARHGEF37,-0.394422356,0.581464748,0.760510201
EPB41L1,-0.513703192,0.581579189,0.760605941
MYH1,1.669995072,0.581685547,0.760640073
MT1E,-0.766416626,0.581687772,0.760640073
PLIN1,1.219580996,0.581832731,0.760775687
MMP12,1.980488388,0.582020259,0.760966939
PICK1,0.403994662,0.582149506,0.76108197
BUD23,-0.422708368,0.582335698,0.761266831
ZNF671,-0.466456663,0.58237346,0.761266831
GPR199P,0.564226784,0.582438102,0.761295526
ZC3H11A,-0.342894449,0.582477968,0.761295526
RNF227,1.093855864,0.582585438,0.761352751
PPP1CA,-0.310463523,0.582604315,0.761352751
DNAAF11,-0.46750204,0.582756016,0.761497039
RXFP3,1.679735125,0.582824764,0.761532917
RXFP3,1.679735125,0.582824764,0.761532917
MMP28,-0.325726844,0.582946518,0.761638044
MMP28,-0.325726844,0.582946518,0.761638044
ARF3,-0.389935693,0.583112354,0.761800747
TIRAP,0.539661511,0.583215212,0.761876603
LRBA,-0.379745862,0.583253037,0.761876603
CACNA2D3,0.784989629,0.583314832,0.76190336
NOXA1,-0.679499862,0.58336935,0.761920609
EPG5,0.311792657,0.583625563,0.762201265
PDK1,0.412589985,0.583726149,0.762253312
MIPOL1,0.514265381,0.583804811,0.762253312
PXMP4,0.465220721,0.583825814,0.762253312
EFCAB11,-0.873494141,0.583844341,0.762253312
MTO1,-0.385155528,0.583872067,0.762253312
SMC6,0.287396485,0.583967421,0.762323836
KLHDC1,-0.582396365,0.584030743,0.762352537
APTR,0.886301416,0.58409435,0.762381606
NA,-0.835829975,0.584191172,0.762404092
STX17,0.342115907,0.584230702,0.762404092
TMEM200B,1.088789248,0.584235593,0.762404092
SMTNL2,-1.146327629,0.584295552,0.76242839
HOXC8,1.663254933,0.584496471,0.762636606
KYNU,-0.610509909,0.584604515,0.762709177
ZNF621,0.337614261,0.584634801,0.762709177
HEXIM1,-0.33052734,0.58492365,0.763026842
APOLD1,-0.57389813,0.584987227,0.763026842
ABRACL,-0.412004255,0.585002415,0.763026842
MAN1A2,-0.44480555,0.585068864,0.763059547
PQBP1,-0.472900884,0.585111325,0.763060965
ZBTB46,0.372307885,0.585213785,0.763140623
ZBTB7A,-0.252973003,0.585462423,0.763371721
MAP4K5,0.320698943,0.585502595,0.763371721
TMEM63A,0.317683366,0.585554468,0.763371721
SNCA,-0.34459043,0.585581274,0.763371721
HIF3A,0.339392944,0.58563293,0.763371721
TMEM147-AS1,1.166719213,0.585639347,0.763371721
TMEM243,-0.416261915,0.585750979,0.763388673
RPL22L1,-0.725497774,0.585815532,0.763388673
ZNF252P-AS1,0.769013588,0.58586984,0.763388673
RND2,1.063344623,0.585919518,0.763388673
PNPLA1,1.505807901,0.585919554,0.763388673
TRABD,-0.417414575,0.585926314,0.763388673
NSUN4,-0.316375509,0.585942095,0.763388673
ERMP1,-0.284394193,0.586111854,0.763515809
APOD,-0.440119973,0.586122476,0.763515809
IL12RB2,-0.780255007,0.586215595,0.763583179
GPATCH8,0.262786719,0.586326601,0.763673834
SLC24A1,0.343587636,0.586467666,0.763803627
PCNA,-0.397111097,0.586526087,0.763825775
DIXDC1,0.536020322,0.586704262,0.763977178
PREX1,-0.304802125,0.586725194,0.763977178
SLC7A11,0.509777311,0.586868003,0.764063153
MBD1,0.291971551,0.586874078,0.764063153
CCDC22,-0.468379503,0.587091504,0.764292272
ZNF626,-0.508091162,0.587147118,0.764310722
NTSR2,1.445668708,0.587373833,0.764502861
SETBP1,0.237761577,0.587388289,0.764502861
BICC1,0.838640002,0.587457819,0.764502861
CCDC154,-1.20290254,0.587479682,0.764502861
LOC153684,0.714326594,0.587558632,0.764502861
CENPH,-1.018191869,0.587595813,0.764502861
NOXO1,1.339039986,0.587608546,0.764502861
THUMPD2,-0.61793988,0.58765818,0.764502861
PRKCSH,-0.305434711,0.587733413,0.764502861
POP4,-0.469932174,0.587746788,0.764502861
PLPP6,0.392483372,0.587750695,0.764502861
ZNF514,0.402676948,0.587917244,0.764665567
CMKLR1,0.625272936,0.588080157,0.76482352
FANCE,-0.74843797,0.588203931,0.764913378
CCNDBP1,-0.318497593,0.588232199,0.764913378
VMO1,-1.020635378,0.58835515,0.76501932
ZNF347,0.527883184,0.588449627,0.765071644
CTNNBL1,-0.290765019,0.588478357,0.765071644
CDC14A,0.419462649,0.588773813,0.765392835
ADPRM,-0.65112069,0.588827215,0.765392835
ZNF709,0.490323174,0.588877988,0.765392835
SEPTIN9,0.204195418,0.588891413,0.765392835
SEPTIN9,0.204195418,0.588891413,0.765392835
AKAP13,0.465012449,0.588953329,0.765419368
DOP1A,-0.378854938,0.589388484,0.765899742
LRRC29,1.373703218,0.58940601,0.765899742
FSTL5,0.929213489,0.589496432,0.765963273
GLRX5,-0.54184661,0.589657663,0.766086264
NCOA6,-0.253897535,0.589674164,0.766086264
RPSA,-0.553949567,0.589733249,0.76610906
SEMA6A,-0.30325683,0.589963847,0.766354644
APIP,-0.798403764,0.590050628,0.76641339
WNT5B,0.699502659,0.590112848,0.76644023
C11orf54,-0.454786853,0.590310667,0.766578454
BTBD6,-0.37058202,0.590343443,0.766578454
LINC00398,2.034247961,0.590385532,0.766578454
HAS2,2.034247961,0.590385532,0.766578454
JKAMP,-0.503309683,0.59067966,0.766906369
A1BG-AS1,-1.563694838,0.590802608,0.767012002
ZNF382,0.841591198,0.590903599,0.767089116
OSBP,-0.441372461,0.591143956,0.767256552
COQ4,0.498541319,0.591146916,0.767256552
STAG3L3,0.56134559,0.591157383,0.767256552
TTC9C,0.544510348,0.591294295,0.767380247
MTX3,0.550385341,0.591363808,0.767416459
TWF1,-0.440990062,0.591651848,0.767637361
IARS1,0.372846563,0.591655073,0.767637361
DOK2,0.660547131,0.591658899,0.767637361
ACACB,0.336355782,0.591743674,0.76765564
LXN,-0.57698775,0.591756234,0.76765564
SANBR,0.532276915,0.591931098,0.767776041
FAM162A,-0.469169744,0.591949262,0.767776041
VAMP8,-0.541869188,0.591973936,0.767776041
ZNF433,0.692063933,0.592076117,0.767854569
KTN1-AS1,-0.746855796,0.59218609,0.76794319
IMMT,0.233427553,0.5923162,0.768057911
SAXO2,1.100754946,0.592381849,0.768089035
PIP4K2B,-0.319193083,0.59253948,0.768239412
PIP4K2B,-0.319193083,0.59253948,0.768239412
ENOPH1,-0.291164071,0.592585185,0.768244662
DNAJC18,0.520202738,0.592701643,0.768341632
DNAJC18,0.520202738,0.592701643,0.768341632
LINC00856,1.131546366,0.592791172,0.768348687
GPR45,1.152359031,0.592807737,0.768348687
FRS3,-0.886003039,0.592839945,0.768348687
SRP68,0.257456513,0.592893702,0.768348687
AGBL2,-1.094533282,0.592917322,0.768348687
AGBL2,-1.094533282,0.592917322,0.768348687
ZNF630,0.553558681,0.59295705,0.768348687
NPRL3,0.548862101,0.593056003,0.768373194
DARS2,-0.426631039,0.593059287,0.768373194
ADAMTSL3,0.611497114,0.593179967,0.768466974
LIMCH1,0.337870251,0.593215004,0.768466974
PADI4,-1.053560396,0.593265014,0.768477782
PADI4,-1.053560396,0.593265014,0.768477782
USP15,-0.377670109,0.593306882,0.768478041
SPON1,0.639276552,0.59339362,0.76849519
TPM3,-0.401036977,0.593403459,0.76849519
CAPRIN2,-0.553931121,0.593481908,0.768516228
CCDC157,-1.042283406,0.593503044,0.768516228
SNORD2,-0.769223525,0.593638375,0.768624414
ZNF33B,-0.451923158,0.593669944,0.768624414
NCOR2,0.22399653,0.59374212,0.7686639
RGS22,0.834974335,0.594255476,0.769126175
LOC100268168,-1.19593687,0.594307015,0.769126175
ST3GAL4,0.662979057,0.594342357,0.769126175
RPRD1B,-0.315185929,0.594349313,0.769126175
CLK2P1,0.411471374,0.594369391,0.769126175
TSC22D2,0.294539594,0.594376507,0.769126175
CSNK1D,0.327057469,0.594391117,0.769126175
ASAP1,0.310114019,0.594442957,0.769131672
URM1,-0.447831928,0.594539077,0.769131672
RIOK2,0.411081127,0.594540777,0.769131672
AATF,-0.265740201,0.594562178,0.769131672
AATF,-0.265740201,0.594562178,0.769131672
PUSL1,0.597053597,0.594677497,0.769185042
ZNF670,-0.914844057,0.594710114,0.769185042
CENPX,-0.770135369,0.594728553,0.769185042
UBE2NL,1.141363901,0.594791503,0.769212516
PXMP2,-0.833086161,0.594845761,0.769228746
LRRC70,0.65705915,0.595006414,0.769295396
KIAA1522,0.461833455,0.595015149,0.769295396
CD99L2,-0.369619203,0.595022438,0.769295396
ARRDC4,0.558822994,0.595130771,0.769381524
ZNF275,0.331163461,0.595195237,0.769410931
JUND,-0.305175215,0.595466975,0.769562693
DENND4C,-0.292399058,0.595507251,0.769562693
FLJ36000,1.461512324,0.595523753,0.769562693
NEMP2,0.606567149,0.595539623,0.769562693
CCL5,-0.503860548,0.595548649,0.769562693
CCL5,-0.503860548,0.595548649,0.769562693
RPL23AP53,-0.612200094,0.595604699,0.769562693
LRRTM3,-0.882009663,0.595604721,0.769562693
RNF19A,0.295177603,0.595788951,0.769690743
TPM1,-0.352965211,0.595819403,0.769690743
GBP7,0.46766162,0.595869033,0.769690743
ANKRD17,-0.352311611,0.595901595,0.769690743
AGPS,-0.468676855,0.595912493,0.769690743
CENPC,0.455190753,0.596053626,0.769819119
SLC25A5,-0.485764978,0.596199601,0.769953731
ALKBH1,0.415183656,0.596244403,0.769957676
TPM2,0.398442018,0.596486107,0.770197055
RDH14,-0.646708941,0.596513297,0.770197055
PIN4P1,0.723135958,0.596629966,0.770293767
NA,0.436512111,0.596746304,0.770390038
HFM1,-0.874725447,0.596800398,0.770405945
TERC,-0.528639086,0.596912228,0.770476272
TNPO1,-0.296163423,0.597021517,0.770476272
ZFP2,0.821701166,0.597045641,0.770476272
THOC5,0.388903394,0.597062177,0.770476272
NARS2,0.456142537,0.597077121,0.770476272
MMS19,0.469099627,0.597114217,0.770476272
FDX2,-0.58016989,0.597147309,0.770476272
MED15,0.280973939,0.597248516,0.770537854
DBT,0.509364786,0.597328556,0.770537854
GOLPH3L,-0.323933883,0.597357925,0.770537854
EDN1,0.407108637,0.597362155,0.770537854
AAGAB,-0.307524848,0.597482734,0.770596757
CAB39L,-0.51505951,0.597491918,0.770596757
CYB5D2,-0.48907584,0.597533168,0.770596757
C14orf93,-0.539619795,0.597672626,0.770673561
XPC,-0.338451839,0.597676297,0.770673561
CCNK,-0.440779789,0.597761376,0.770717341
TGS1,-0.443618435,0.597793828,0.770717341
FCSK,0.540901762,0.597882034,0.770777181
OCRL,0.45985057,0.597959289,0.770786491
FAS,-0.45756865,0.597972842,0.770786491
TMEM45B,-0.799841516,0.598073161,0.770816117
ID1,0.342152716,0.598079414,0.770816117
RPF2,0.467911733,0.598253829,0.77097575
FBXO31,-0.32968818,0.59832693,0.77097575
PIGZ,0.963892559,0.598328683,0.77097575
FABP5,1.03113851,0.598410459,0.771027252
ELN,0.456521954,0.598465935,0.771042897
SPIDR,0.556033275,0.598506215,0.771042897
RPL37A,-0.285514656,0.598711077,0.771252944
LRRC49,0.527411058,0.598902242,0.77143888
PLD6,-0.921171492,0.598939073,0.77143888
NME6,0.586743022,0.599061347,0.771542487
EHHADH,-0.520225433,0.599220578,0.771668207
PDXK,-0.345149698,0.599242643,0.771668207
SH3TC1,0.486566293,0.599409394,0.771829047
ANKRD31,1.004601179,0.599616186,0.771990928
PCDHB5,0.529516486,0.599618828,0.771990928
PTCD2,-0.664359014,0.599772522,0.772087735
SHCBP1,1.003950113,0.599883975,0.772087735
NUP50,-0.477874754,0.599892916,0.772087735
CC2D2A,0.34790738,0.599925133,0.772087735
PSMD13,-0.446485366,0.599929931,0.772087735
PARD3,-0.300443147,0.5999452,0.772087735
RBM24,0.977988288,0.600221712,0.772368091
ERGIC3,-0.40261399,0.600246807,0.772368091
ANPEP,0.462954792,0.60029894,0.772379866
PAPOLA,0.397771393,0.600381135,0.772379866
PPP1R1B,-0.712739694,0.600390707,0.772379866
ANP32C,0.368134073,0.600464347,0.772379866
RELT,-0.562974183,0.600465354,0.772379866
LMF2,-0.440436982,0.600534053,0.772414363
OSTC,-0.854086645,0.600721034,0.772600979
TUBG2,0.317168026,0.60090694,0.772786185
RCN3,0.409648463,0.60113461,0.773025074
EMC7,-0.446811917,0.601322094,0.773212256
TMTC2,0.511110631,0.601433405,0.773301471
CFAP91,1.055886651,0.601509747,0.773320814
BCL7B,-0.441704012,0.60153231,0.773320814
ZSCAN26,-0.465404791,0.601627136,0.773388811
HIGD1A,-0.49379438,0.601783874,0.773536381
WDR31,1.305591585,0.601964147,0.77366002
MPP7,0.551139567,0.601971135,0.77366002
LTBP4,0.496711417,0.60200974,0.77366002
RSPO4,0.589278246,0.602112807,0.77366002
CUL1,0.248407992,0.602125229,0.77366002
LINC02603,-1.056070077,0.602131753,0.77366002
APAF1,-0.410816819,0.602218911,0.773718103
PLEKHF2,-0.391019383,0.602267738,0.773726937
ZNF257,0.591312197,0.602370155,0.773804609
KIF6,1.187780274,0.602427285,0.7738241
DBR1,0.380793482,0.602544644,0.773920947
GLIDR,0.657881184,0.602599729,0.7739378
PEX14,0.497671338,0.602791619,0.774130341
SMG7-AS1,0.987193009,0.603056061,0.774416024
CEP57L1,0.488072056,0.603112215,0.774434211
ACD,0.505611005,0.60317499,0.774452041
MYO1B,0.454249376,0.603210084,0.774452041
RAD51C,-0.704635284,0.603310257,0.774526735
MIS12,0.448277416,0.603584158,0.774824433
HECTD1,-0.342488194,0.604123646,0.775463001
SNORD12,-0.722518718,0.604563139,0.77593672
HOXB7,-0.88108697,0.604576841,0.77593672
DNTTIP2,0.380097681,0.604765706,0.776059657
XPO4,-0.358678644,0.604798496,0.776059657
TRMT11,-0.820767302,0.604798864,0.776059657
GOLGA6L1,1.31996217,0.604859353,0.776083279
GOLGA6L1,1.31996217,0.604859353,0.776083279
GOLGA6L1,1.31996217,0.604859353,0.776083279
GOLGA6L1,1.31996217,0.604859353,0.776083279
URI1,-0.36314513,0.604988682,0.776176117
FLNB,-0.3131295,0.605021822,0.776176117
BRD1,0.325557616,0.605084915,0.776176117
DPH6,0.522135575,0.605100049,0.776176117
TMED4,-0.417528535,0.60527488,0.77630238
NUP43,0.319628188,0.605309132,0.77630238
PTPRK,-0.349916186,0.605358673,0.77630238
PTPRK,-0.349916186,0.605358673,0.77630238
WASHC5,-0.329716601,0.605366851,0.77630238
BECN1,-0.350004551,0.605558878,0.776494638
C7orf50,-0.333668898,0.605645823,0.776552135
LARP1B,0.538375346,0.605790181,0.776683233
ZNF330,-0.291772537,0.605866917,0.77672762
USP42,0.247265998,0.605999754,0.776843919
VXN,0.745883458,0.606068615,0.776848279
ITGA4,-0.568728138,0.606103463,0.776848279
KIFC2,0.441618039,0.60612952,0.776848279
LDHAL6B,0.865775558,0.60639456,0.777101318
TBK1,-0.3496861,0.606411222,0.777101318
IQSEC2,-0.293405369,0.60650048,0.77712572
CPTP,-0.425405234,0.606514537,0.77712572
CLEC19A,-1.259209453,0.606611874,0.777196443
LYPLA1,-0.420963917,0.606751633,0.777321503
SIGLEC16,-1.16310818,0.606838698,0.777379044
TNXB,0.445141119,0.606908435,0.777399282
TNXB,0.445141119,0.606908435,0.777399282
TNXB,0.445141119,0.606908435,0.777399282
TNXB,0.445141119,0.606908435,0.777399282
TNXB,0.445141119,0.606908435,0.777399282
TNXB,0.445141119,0.606908435,0.777399282
TNXB,0.445141119,0.606908435,0.777399282
TNXB,0.445141119,0.606908435,0.777399282
ZRANB3,-0.537309666,0.606938799,0.777399282
RAD51D,0.537434628,0.607008563,0.777434648
SLC6A17,0.577726564,0.607191265,0.777614645
AGTRAP,-0.513360195,0.607273411,0.777665846
LRRTM1,1.190239197,0.607370086,0.777735646
AK2,-0.422905402,0.607584868,0.777956659
MAEA,-0.379752902,0.607658173,0.777996507
ERCC6,-0.317686389,0.607718764,0.778020072
